"transaction_id","transaction_date","transaction_time","store_id","store_location","product_id","transaction_qty","unit_price","Total_Bill","product_category","product_type","product_detail","Size","Month Name","Day Name","Hour","Month","Day of Week"
"127888","12-06-2023","18:02:24","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Monday","18","6","0"
"128071","13-06-2023","07:47:52","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Tuesday","7","6","1"
"128895","13-06-2023","13:44:16","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Tuesday","13","6","1"
"129272","14-06-2023","07:13:16","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Wednesday","7","6","2"
"129835","14-06-2023","10:10:40","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Wednesday","10","6","2"
"130006","14-06-2023","10:52:06","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Wednesday","10","6","2"
"130477","15-06-2023","06:29:03","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","6","6","3"
"130483","15-06-2023","06:36:21","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","6","6","3"
"130624","15-06-2023","07:39:38","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","7","6","3"
"131014","15-06-2023","10:01:45","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","10","6","3"
"131052","15-06-2023","10:14:27","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","10","6","3"
"131355","15-06-2023","13:25:24","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Thursday","13","6","3"
"132702","16-06-2023","14:19:11","5","Lower Manhattan","84","1","0.8","0.8","Flavours","Regular syrup","Chocolate syrup","Not Defined","June","Friday","14","6","4"
